HGT,Seed,Raw_Multi_AMR,Proc_Multi_AMR,Combined_Multi_AMR
0.1,48,0.16842105263157894,0.11764705882352941,0.14303405572755418
0.1,49,0.18181818181818182,0.20987654320987653,0.19584736251402918
0.2,0,0.39080459770114945,0.3870967741935484,0.38895068594734894
0.2,1,0.3181818181818182,0.391304347826087,0.3547430830039526
0.2,2,0.27,0.4625,0.36625
0.2,3,0.37362637362637363,0.449438202247191,0.4115322879367823
0.2,4,0.4375,0.34523809523809523,0.3913690476190476
0.2,5,0.367816091954023,0.4838709677419355,0.42584352984797924
0.2,6,0.44871794871794873,0.3235294117647059,0.3861236802413273
0.2,7,0.41237113402061853,0.3253012048192771,0.3688361694199478
